150
1738D0
4902.801076D0
29	5	 0.1770454494800D-6	-0.6372966485940D-7
29	6	-0.2654631603350D-6	-0.1358405892670D-6
29	7	-0.1523146723980D-6	-0.3923261971270D-6
29	8	 0.5101076198040D-6	-0.1131860709570D-6
29	9	 0.1600605100700D-6	-0.5176586843740D-6
29	10	 0.3780330586830D-6	 0.2571662068800D-6
29	11	-0.4991404776150D-7	 0.1905827856530D-6
29	12	-0.2148620668880D-6	-0.4232590706260D-6
29	13	 0.2428440858280D-6	 0.3418891020930D-6
29	14	-0.9315202478390D-7	 0.8699406386430D-6
29	15	-0.1724279965160D-6	 0.1589020048340D-6
29	16	 0.3820488623980D-6	-0.9270472384090D-7
29	17	-0.3748348478520D-6	-0.4106783986920D-6
29	18	 0.7048148489080D-8	-0.1568462486390D-6
29	19	-0.1931941626250D-6	 0.1760763128960D-7
29	20	-0.2817107830280D-6	 0.2722608130720D-6
29	21	-0.2213792961230D-7	 0.7967891139130D-7
29	22	-0.3627073514030D-6	-0.1596140358010D-6
29	23	 0.2380394026280D-6	 0.3163253559360D-6
29	24	 0.8274863059419D-7	-0.2594753451400D-6
29	25	-0.5401631408870D-7	 0.1471301985800D-6
29	26	 0.3888566757440D-7	-0.7155424713300D-6
29	27	-0.1745363115000D-7	 0.3314544827060D-6
29	28	-0.6438106114160D-7	 0.2014968596180D-6
29	29	 0.6080518886270D-7	-0.1080343597570D-6
30	0	 0.1696257242280D-6	 0.0000000000000D+0
30	1	-0.1926115385890D-6	 0.6291233958900D-7
30	2	-0.3520962907760D-6	-0.3210144667380D-6
30	3	-0.3530660655030D-6	 0.2488629174750D-6
30	4	 0.3874640810300D-7	-0.1509348818020D-6
30	5	 0.2344458320490D-8	-0.2079459695940D-6
30	6	 0.3593887537750D-8	 0.3509412491030D-6
30	7	-0.1661808369630D-6	-0.3382211483910D-6
30	8	-0.3391125155610D-6	-0.3613487455520D-6
30	9	-0.2652503371690D-6	-0.2903441177880D-7
30	10	-0.2502423093350D-6	-0.1350199365700D-6
30	11	 0.1040867861220D-6	-0.2117230018490D-6
30	12	-0.1867560799840D-6	 0.4321190458560D-6
30	13	-0.1585242393530D-6	 0.4255296439860D-6
30	14	 0.5171766423890D-6	-0.1072712458720D-6
30	15	-0.3255924184920D-6	-0.5684862591450D-8
30	16	 0.2422668216940D-6	-0.3338764830540D-6
